prevalence_fraction	max_chromosome_count_fraction	dominant_chromosome_recurrence
0.9947643979057592	0.9750773214414156	0.9961904761904762
1.0	0.5971615344916567	0.6890756302521008
1.0	0.6514692164179104	0.9971988795518207
0.8080279232111692	0.9992575908192926	1.0
0.9947643979057592	0.7727476217123671	0.9692982456140351
1.0	0.37278517660683264	0.8995726495726496
0.9965095986038395	0.9214912613501277	1.0
0.9738219895287958	0.7106246663107314	0.8011204481792717
0.9895287958115183	0.7680105750165235	0.9859943977591037
0.9930191972076788	0.7842254855518711	0.9840319361277445
1.0	0.34518586054286093	0.5323741007194245
0.9965095986038395	0.4974057419578001	0.6162464985994398
0.7626527050610821	0.9789300217762344	1.0
