kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_53d43eac	HSat3	G2	54	36.0	36.74074074074074	31.0	48.0	2.2100407320280127	54
k16_53d43eac	HSat3	G3	70	39.0	38.114285714285714	31.25	49.0	2.323140599694206	70
k16_53d43eac	HSat3	G4	39	39.0	38.76923076923077	32.0	46.5	2.3705025566166387	39
k16_53d43eac	HSat3	G5	47	40.0	36.319148936170215	25.5	45.0	1.991945447124464	47
k16_53d43eac	HSat3	G6	47	40.0	40.93617021276596	34.0	50.5	2.423710300246746	47
k16_53d43eac	HSat3	G7	126	37.0	39.023809523809526	33.0	48.0	2.264739523520273	126
k16_53d43eac	HSat3	NA	131	37.0	37.38931297709924	30.0	48.0	2.438666520888601	131
k16_562e83b4	HSat3	G1	59	30.0	32.25423728813559	18.0	39.5	2.024290428996429	59
k16_562e83b4	HSat3	G2	54	30.0	32.01851851851852	20.5	39.75	2.0065191957499047	54
k16_562e83b4	HSat3	G3	70	31.5	31.242857142857144	22.25	38.0	1.8970346332412324	70
k16_562e83b4	HSat3	G4	39	26.0	34.743589743589745	13.5	49.5	2.0037517356942813	39
k16_562e83b4	HSat3	G5	47	10.0	10.382978723404255	7.0	14.0	0.5059913024592807	47
k16_562e83b4	HSat3	G6	47	10.0	10.957446808510639	6.0	14.5	0.6214641795504477	47
k16_562e83b4	HSat3	G7	126	9.0	10.087301587301587	5.0	12.0	0.5039981841635525	126
k16_562e83b4	HSat3	NA	131	18.0	20.740458015267176	7.0	30.5	1.012685795824792	131
k16_583a0d74	HSat2	G1	158	4319.5	3799.740506329114	169.75	6334.75	234.62211046646877	158
k16_583a0d74	HSat2	G2	42	3405.0	3317.3571428571427	39.75	5774.0	210.40115547631183	42
k16_583a0d74	HSat2	G3	289	5059.0	4209.141868512111	419.0	6603.0	248.003972435599	289
k16_583a0d74	HSat2	NA	84	2349.0	3180.8214285714284	191.75	5790.25	187.51641243455742	84
k16_60e83458	HSat2	G1	158	4694.0	4168.215189873417	362.5	6856.75	268.0695566822712	158
k16_60e83458	HSat2	G2	42	3768.0	3629.309523809524	100.5	6421.75	234.15488698367778	42
k16_60e83458	HSat2	G3	289	5834.0	5009.948096885813	1012.0	7665.0	299.85766036819416	289
k16_60e83458	HSat2	NA	84	2729.0	3633.3690476190477	336.75	6662.75	247.17338692422263	84
k16_60e836d1	HSat2	G1	158	100.0	121.72784810126582	82.25	137.25	6.976543930378737	158
k16_60e836d1	HSat2	G2	42	6.0	12.69047619047619	3.0	20.75	0.6096715801264719	42
k16_60e836d1	HSat2	G3	289	411.0	471.0415224913495	356.0	491.0	24.97750198009811	289
k16_60e836d1	HSat2	NA	84	246.0	245.71428571428572	66.75	381.0	15.147157442684337	84
k16_6214f638	HSat2	G1	158	12513.0	11312.993670886075	535.0	19142.75	673.5811282133511	158
k16_6214f638	HSat2	G2	42	10595.0	10267.809523809523	114.25	18479.5	643.6294168385438	42
k16_6214f638	HSat2	G3	289	14728.0	12812.820069204152	1418.0	20203.0	748.2427477244578	289
k16_6214f638	HSat2	NA	84	7125.5	9495.809523809523	517.75	17802.0	583.0670526570522	84
k16_62e83a02	HSat3	G1	59	3705.0	3262.0508474576272	2952.5	4242.0	201.73049394042758	59
k16_62e83a02	HSat3	G2	54	3458.5	3209.222222222222	2772.25	3994.0	208.93471340234174	54
k16_62e83a02	HSat3	G3	70	3629.0	3291.5714285714284	2568.25	4338.0	209.07745487590302	70
k16_62e83a02	HSat3	G4	39	3769.0	3012.6923076923076	979.5	4199.0	214.42643773267943	39
k16_62e83a02	HSat3	G5	47	4051.0	3700.3829787234044	3519.0	4462.5	214.4516262789212	47
k16_62e83a02	HSat3	G6	47	3541.0	3228.4893617021276	3102.0	3839.0	220.00990044552006	47
k16_62e83a02	HSat3	G7	126	3661.0	3399.5079365079364	2758.25	4319.25	219.4523785966221	126
k16_62e83a02	HSat3	NA	131	3423.0	3012.5190839694656	829.0	4269.5	220.26870190235596	131
k16_62e83f06	HSat3	G1	59	0.0	45.28813559322034	0.0	90.0	0.0	59
k16_62e83f06	HSat3	G2	54	0.0	31.203703703703702	0.0	92.5	0.0	54
k16_62e83f06	HSat3	G3	70	0.0	38.92857142857143	0.0	91.75	0.0	70
k16_62e83f06	HSat3	G4	39	77.0	50.53846153846154	0.0	98.5	3.9152173343971195	39
k16_62e83f06	HSat3	G5	47	40.0	47.5531914893617	0.0	95.0	2.112389247431757	47
k16_62e83f06	HSat3	G6	47	82.0	55.8936170212766	0.0	94.0	4.114321770250845	47
k16_62e83f06	HSat3	G7	126	0.0	38.82539682539682	0.0	93.0	0.0	126
k16_62e83f06	HSat3	NA	131	0.0	31.671755725190838	0.0	90.5	0.0	131
k16_63d47638	HSat2	G1	158	5555.0	5177.5	1796.25	7756.5	316.7968981551578	158
k16_63d47638	HSat2	G2	42	4105.5	4568.714285714285	1576.0	7294.0	298.219942267414	42
k16_63d47638	HSat2	G3	289	6222.0	5679.955017301038	2152.0	8447.0	335.03002527967396	289
k16_63d47638	HSat2	NA	84	4058.0	4543.702380952381	1685.0	7215.75	289.2794597280021	84
k16_63e4f600	HSat2	G1	158	34.0	42.848101265822784	22.0	53.75	2.2078871952185946	158
k16_63e4f600	HSat2	G2	42	6.5	11.69047619047619	2.0	14.5	0.4823991254852962	42
k16_63e4f600	HSat2	G3	289	9.0	15.349480968858131	0.0	19.0	0.4643270909887113	289
k16_63e4f600	HSat2	NA	84	11.0	17.892857142857142	0.0	24.25	0.5225721537187702	84
k16_66fbf53d	HSat3	G1	59	128.0	125.59322033898304	88.0	160.5	7.828931993456415	59
k16_66fbf53d	HSat3	G2	54	59.5	56.75925925925926	42.25	77.75	3.6125813394710073	54
k16_66fbf53d	HSat3	G3	70	61.5	55.32857142857143	41.0	75.0	3.329203493373254	70
